Raw_ID,ID,CPP_ID,PPP_ID,MS_ID,USZ_ID,Tissue,Batch,Date,Year,Month,Day
GUOT_PC1_170127_CPP12B_SW,PPPB83,CPP12B,PPP13,PC1,G_2007.0748,N,1,170127,17,1,27
GUOT_PC2_170203_CPP375_SW,PPPB84,CPP375,RP357,PC2,G_2010.0623,N,14,170203,17,2,3
GUOT_PC1_170213_CPP427_SW,PPPB85,CPP427,RP137,PC1,G_2009.0025,N,16,170213,17,2,13
GUOT_PC4_170203_CPP22_SW,PPPB86,CPP22,PPP22,PC4,G_2007.0857,T,1,170203,17,2,3
GUOT_170801_PC6_PCPOOL24_SW,PPPB87,PCPOOL24,PC15AQUA,PC6,NA,A,21,170801,17,8,1
GUOT_PC3_170215_CPP374_SW,PPPB88,CPP374,PPP357,PC3,G_2010.0623,N,14,170215,17,2,15
GUOT_170803_PC1_CPP600_SW,PPPB89,CPP600,PPP225,PC1,G_2009.0563,N,25,170803,17,8,3
GUOT_PC4_170201_CPP415_SW,PPPB90,CPP415,PPP49,PC4,G_2008.0191,N,16,170201,17,2,1
GUOT_PC1_170127_CPP111_SW,PPPB91,CPP111,PPP99,PC1,G_2008.0573,N,5,170127,17,1,27
GUOT_PC4_170201_CPP434_SW,PPPB92,CPP434,PPP146,PC4,G_2008.0013,T,16,170201,17,2,1
GUOT_PC4_170227_CPP488_SW,PPPB93,CPP488,PPP419,PC4,G_2011.0328,N,18,170227,17,2,27
GUOT_PC2_170206_CPP488_SW,PPPB94,CPP488,PPP419,PC2,G_2011.0328,N,18,170206,17,2,6
GUOT_PC4_170301_CPP516_SW,PPPB95,CPP516,RP443,PC4,G_2011.0447,N,19,170301,17,3,1
GUOT_PC1_170127_CPP16_SW,PPPB96,CPP16,PPP17,PC1,G_2007.0803,N,1,170127,17,1,27
GUOT_PC1_170210_CPP162_SW,PPPB97,CPP162,PPP143,PC1,G_2008.0006,N,6,170210,17,2,10
GUOT_PC2_170201_CPP259_SW,PPPB98,CPP259,PPP257,PC2,G_2009.0754,N,10,170201,17,2,1
GUOT_PC4_170224_CPP170_SW,PPPB99,CPP170,PPP175,PC4,G_2009.0184,N,7,170224,17,2,24
GUOT_PC2_170127_CPP36_SW,PPPB100,CPP36,PPP33,PC2,G_2008.0082,N,2,170127,17,1,27
GUOT_PC5_170802_CPP700,PPPB101,CPP700,RP574,PC5,G_2012.0379,T,31,170802,17,8,2
